feature,feature_value,precision,recall,f_beta
occupation,Prof-specialty,0.9624796084828712,0.9521247982786444,0.9572742022714981
occupation,Other-service,0.9827586206896551,0.8321167883211679,0.9011857707509882
occupation,Sales,0.9484210526315789,0.9165818921668362,0.9322296947749612
occupation,Craft-repair,0.9395667046750285,0.8869752421959096,0.9125138427464008
occupation,Transport-moving,0.9823943661971831,0.871875,0.923841059602649
occupation,Farming-fishing,1.0,0.8869565217391304,0.9400921658986175
occupation,Machine-op-inspct,0.9727272727272728,0.856,0.9106382978723404
occupation,Tech-support,0.9558823529411765,0.9187279151943463,0.936936936936937
occupation,?,0.9657142857142857,0.8848167539267016,0.9234972677595629
occupation,Protective-serv,0.9441624365482234,0.8815165876777251,0.9117647058823529
occupation,Armed-Forces,1.0,1.0,1.0
occupation,Priv-house-serv,1.0,1.0,1.0
relationship,Not-in-family,0.9816993464052287,0.8773364485981309,0.9265885256014806
relationship,Husband,0.9525125194266966,0.9320716458262926,0.9421812281151251
relationship,Wife,0.9558011049723757,0.9288590604026845,0.94213750850919
relationship,Own-child,1.0,0.8208955223880597,0.9016393442622952
relationship,Unmarried,0.9945652173913043,0.8394495412844036,0.9104477611940299
relationship,Other-relative,1.0,0.7297297297297297,0.8437499999999999
race,White,0.9566929133858267,0.92187719544752,0.9389624329159213
race,Black,0.9565217391304348,0.9095607235142119,0.9324503311258279
race,Asian-Pac-Islander,0.9734848484848485,0.9311594202898551,0.9518518518518518
race,Amer-Indian-Eskimo,0.9696969696969697,0.8888888888888888,0.927536231884058
race,Other,0.9565217391304348,0.88,0.9166666666666666
sex,Male,0.9557865342848278,0.9247973581507055,0.9400366188587123
sex,Female,0.9663636363636363,0.9016115351993215,0.9328652917946468
native-country,United-States,0.9571697294168716,0.9224654859852183,0.9394972305070302
native-country,Cuba,1.0,1.0,1.0
native-country,Jamaica,0.75,0.9,0.8181818181818182
native-country,India,0.9743589743589743,0.95,0.9620253164556962
native-country,?,0.9785714285714285,0.9383561643835616,0.9580419580419579
native-country,Mexico,0.9333333333333333,0.8484848484848485,0.888888888888889
native-country,South,1.0,0.875,0.9333333333333333
native-country,Puerto-Rico,1.0,0.9166666666666666,0.9565217391304348
native-country,Honduras,1.0,1.0,1.0
native-country,England,0.9655172413793104,0.9333333333333333,0.9491525423728815
native-country,Canada,0.9487179487179487,0.9487179487179487,0.9487179487179487
native-country,Germany,0.9459459459459459,0.7954545454545454,0.8641975308641975
native-country,Iran,0.8421052631578947,0.8888888888888888,0.8648648648648649
native-country,Philippines,1.0,0.8524590163934426,0.9203539823008848
native-country,Italy,1.0,0.84,0.9130434782608696
native-country,Poland,1.0,1.0,1.0
native-country,Columbia,1.0,1.0,1.0
native-country,Cambodia,1.0,0.7142857142857143,0.8333333333333333
native-country,Thailand,1.0,1.0,1.0
native-country,Ecuador,1.0,1.0,1.0
native-country,Laos,1.0,1.0,1.0
native-country,Taiwan,0.95,0.95,0.9500000000000001
native-country,Haiti,0.75,0.75,0.75
native-country,Portugal,1.0,1.0,1.0
native-country,Dominican-Republic,1.0,0.0,0.0
native-country,El-Salvador,1.0,1.0,1.0
native-country,France,1.0,0.8333333333333334,0.9090909090909091
native-country,Guatemala,1.0,1.0,1.0
native-country,China,0.9523809523809523,1.0,0.975609756097561
native-country,Japan,0.96,1.0,0.9795918367346939
native-country,Yugoslavia,0.8571428571428571,1.0,0.923076923076923
native-country,Peru,1.0,0.5,0.6666666666666666
native-country,Outlying-US(Guam-USVI-etc),0.0,1.0,0.0
native-country,Scotland,1.0,1.0,1.0
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Greece,0.8,1.0,0.888888888888889
native-country,Nicaragua,1.0,0.5,0.6666666666666666
native-country,Vietnam,1.0,0.8,0.888888888888889
native-country,Hong,0.8571428571428571,1.0,0.923076923076923
native-country,Ireland,1.0,0.6,0.7499999999999999
native-country,Hungary,1.0,1.0,1.0
native-country,Holand-Netherlands,1.0,1.0,1.0
